,AgeOnScanDate,Phy48Grade,GPA.PreSem,Mean Physics Retrieval Accuracy Pre,Mean Correct RT Pre,Mean Physics Retrieval Accuracy Post,Mean Correct RT Post,F,Pre Mean FCI Accuracy,Post Mean FCI Accuracy,shen eff pre,shen eff post,shen cpl pre,shen cpl post,shen mod pre,shen mod post,crad eff pre,crad eff post,crad cpl pre,crad cpl post,crad mod pre,crad mod post,Strt.Level,Verbal Comprehension Sum_1,Perceptual Reasoning Sum_1,Working Memory Sum_1,Processing Speed Sum_1,Full Scale IQ_1,Verbal Comprehension Sum_2,Perceptual Reasoning Sum_2,Working Memory Sum_2,Processing Speed Sum_2,Full Scale IQ_2,delta Physics Retrieval Accuracy,delta FCI Accuracy,delta Verbal Comprehension,delta Perceptual Reasoning,delta Working Memory,delta Processing Speed,delta Full Scale IQ,Mod
AgeOnScanDate,0.0,0.0761,0.0025,0.0015,0.0329,0.0635,0.1291,0.3694,0.3276,0.092,0.339,0.5689,0.3088,0.3409,0.7573,0.963,0.4067,0.4169,0.3976,0.1749,0.3558,0.7511,0.0,0.0988,0.5031,0.3954,0.5698,0.202,0.0446,0.1849,0.0514,0.9402,0.0743,0.1297,0.6959,0.966,0.4311,0.3514,0.6326,0.6805,0.8884
Phy48Grade,0.0761,0.0,0.0,0.1464,0.9386,0.0405,0.5371,0.1324,0.0373,0.0004,0.1534,0.8527,0.1374,0.9188,0.2297,0.2837,0.1428,0.9268,0.1741,0.8389,0.3153,0.5049,0.799,0.7089,0.6635,0.313,0.7061,0.5271,0.9634,0.1084,0.9911,0.6861,0.7754,0.7301,0.2799,0.1509,0.0255,0.0584,0.9776,0.5963,0.1146
GPA.PreSem,0.0025,0.0,0.0,0.2543,0.2678,0.1212,0.6369,0.6184,0.842,0.0975,0.8414,0.5436,0.764,0.6355,0.8944,0.6786,0.736,0.4388,0.7162,0.5308,0.6581,0.3542,0.326,0.22,0.9131,0.8533,0.2552,0.1355,0.8719,0.6246,0.9435,0.4159,0.4904,0.7739,0.2771,0.1676,0.8529,0.9356,0.7793,0.327,0.6837
Mean Physics Retrieval Accuracy Pre,0.0015,0.1464,0.2543,0.0,0.0008,0.0,0.0,0.0003,0.0,0.0001,0.6313,0.8887,0.8346,0.9673,0.9486,0.9264,0.6375,0.9358,0.7703,0.9653,0.8304,0.4416,0.0149,0.0,0.1644,0.1049,0.9496,0.0,0.0,0.0552,0.0009,0.6807,0.0001,0.0,0.2213,0.8705,0.5437,0.3195,0.7432,0.8446,0.0202
Mean Correct RT Pre,0.0329,0.9386,0.2678,0.0008,0.0,0.0,0.0,0.5639,0.2109,0.034,0.4438,0.1933,0.632,0.2165,0.923,0.0801,0.5598,0.3485,0.708,0.4828,0.8503,0.1658,0.6656,0.0,0.2067,0.0088,0.3106,0.0006,0.0,0.6017,0.0014,0.6462,0.0247,0.1348,0.7539,0.5834,0.8655,0.9679,0.2437,0.2628,0.0006
Mean Physics Retrieval Accuracy Post,0.0635,0.0405,0.1212,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0001,0.7993,0.961,0.9835,0.9461,0.9685,0.9362,0.8997,0.9731,0.9554,0.842,0.9523,0.3694,0.0484,0.0,0.9937,0.148,0.5385,0.0055,0.0,0.3903,0.0019,0.8378,0.0017,0.0015,0.3683,0.5171,0.2032,0.3139,0.9641,0.572,0.0863
Mean Correct RT Post,0.1291,0.5371,0.6369,0.0,0.0,0.0,0.0,0.0414,0.3852,0.2307,0.9668,0.4254,0.8889,0.4173,0.9163,0.9977,0.9522,0.4001,0.8742,0.4574,0.7902,0.9134,0.8849,0.0015,0.6502,0.1315,0.052,0.0029,0.0063,0.4992,0.0147,0.5217,0.0178,0.755,0.6801,0.3971,0.2988,0.7865,0.3647,0.4478,0.0734
F,0.3694,0.1324,0.6184,0.0003,0.5639,0.0003,0.0414,0.0,0.0,0.0,0.7366,0.492,0.6307,0.5095,0.5686,0.4963,0.7731,0.7057,0.5593,0.6603,0.6113,0.2501,0.0507,0.0295,0.0202,0.4272,0.1723,0.0594,0.0058,0.0036,0.0793,0.5748,0.0095,0.6207,0.1053,0.7514,0.4629,0.4352,0.7466,0.2044,0.5625
Pre Mean FCI Accuracy,0.3276,0.0373,0.842,0.0,0.2109,0.0005,0.3852,0.0,0.0,0.0,0.9388,0.8532,0.9751,0.889,0.6788,0.2743,0.7663,0.9292,0.7595,0.7584,0.9971,0.2019,0.3178,0.0463,0.0092,0.3368,0.3696,0.0048,0.0031,0.0002,0.02,0.7633,0.0003,0.3521,0.0,0.4307,0.2104,0.5303,0.5089,0.099,0.1841
Post Mean FCI Accuracy,0.092,0.0004,0.0975,0.0001,0.034,0.0001,0.2307,0.0,0.0,0.0,0.7393,0.8911,0.6342,0.9937,0.9059,0.3993,0.5993,0.8345,0.5567,0.826,0.9034,0.2975,0.1575,0.0006,0.1053,0.2477,0.363,0.0011,0.0,0.0004,0.0481,0.9338,0.0,0.817,0.0038,0.9089,0.0201,0.7239,0.5514,0.1065,0.4536
shen eff pre,0.339,0.1534,0.8414,0.6313,0.4438,0.7993,0.9668,0.7366,0.9388,0.7393,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0021,0.9747,0.4407,0.4272,0.4701,0.9114,0.1673,0.7893,0.9613,0.2663,0.3212,0.4624,0.5181,0.9722,0.1359,0.7565,0.8562,0.4779,0.808,0.644
shen eff post,0.5689,0.8527,0.5436,0.8887,0.1933,0.961,0.4254,0.492,0.8532,0.8911,0.0,0.0,0.0,0.0,0.0023,0.0,0.0002,0.0,0.0003,0.0,0.0366,0.0,0.6072,0.9146,0.495,0.8008,0.157,0.854,0.1538,0.7091,0.1546,0.3896,0.3769,0.8984,0.9796,0.1238,0.5099,0.1638,0.1022,0.7823,0.7607
shen cpl pre,0.3088,0.1374,0.764,0.8346,0.632,0.9835,0.8889,0.6307,0.9751,0.6342,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.003,0.9444,0.3104,0.3135,0.5075,0.7994,0.0889,0.9534,0.9329,0.2645,0.3837,0.3855,0.5207,0.9441,0.1175,0.646,0.7665,0.5785,0.6812,0.9264
shen cpl post,0.3409,0.9188,0.6355,0.9673,0.2165,0.9461,0.4173,0.5095,0.889,0.9937,0.0,0.0,0.0,0.0,0.0034,0.0,0.0002,0.0,0.0003,0.0,0.0619,0.0,0.4418,0.8734,0.5828,0.9052,0.2107,0.8547,0.1203,0.5689,0.1233,0.3029,0.3252,0.9264,0.9457,0.0785,0.4071,0.1824,0.1204,0.6834,0.8027
shen mod pre,0.7573,0.2297,0.8944,0.9486,0.923,0.9685,0.9163,0.5686,0.6788,0.9059,0.0,0.0023,0.0,0.0034,0.0,0.0059,0.0,0.0051,0.0,0.0062,0.0,0.003,0.7332,0.5462,0.8474,0.1696,0.9507,0.2956,0.7179,0.8138,0.0561,0.6467,0.3224,0.6614,0.5573,0.6636,0.9288,0.9085,0.4512,0.9257,0.9864
shen mod post,0.963,0.2837,0.6786,0.9264,0.0801,0.9362,0.9977,0.4963,0.2743,0.3993,0.0017,0.0,0.0024,0.0,0.0059,0.0,0.0057,0.0,0.0099,0.0,0.0145,0.0,0.89,0.7484,0.9754,0.9564,0.5588,0.8256,0.2034,0.5015,0.0484,0.8681,0.159,0.831,0.4091,0.0896,0.778,0.1551,0.6621,0.2385,0.8561
crad eff pre,0.4067,0.1428,0.736,0.6375,0.5598,0.8997,0.9522,0.7731,0.7663,0.5993,0.0,0.0002,0.0,0.0002,0.0,0.0057,0.0,0.0001,0.0,0.0002,0.0,0.004,0.7525,0.4123,0.316,0.5268,0.8834,0.1208,0.992,0.9152,0.3166,0.7599,0.5433,0.388,0.6557,0.1611,0.6577,0.7704,0.9154,0.558,0.9427
crad eff post,0.4169,0.9268,0.4388,0.9358,0.3485,0.9731,0.4001,0.7057,0.9292,0.8345,0.0,0.0,0.0,0.0,0.0051,0.0,0.0001,0.0,0.0001,0.0,0.0583,0.0,0.7168,0.7697,0.5248,0.8877,0.1544,0.9059,0.2626,0.6465,0.1037,0.473,0.4072,0.7839,0.8533,0.1574,0.4351,0.2367,0.1857,0.7724,0.6638
crad cpl pre,0.3976,0.1741,0.7162,0.7703,0.708,0.9554,0.8742,0.5593,0.7595,0.5567,0.0,0.0003,0.0,0.0003,0.0,0.0099,0.0,0.0001,0.0,0.0002,0.0,0.0062,0.5785,0.3741,0.2289,0.7356,0.7753,0.0887,0.9737,0.8034,0.4443,0.9084,0.5969,0.4109,0.5765,0.1404,0.5454,0.6892,0.8879,0.4281,0.6737
