,AgeOnScanDate,Phy48Grade,GPA.PreSem,Mean Physics Retrieval Accuracy Pre,Mean Correct RT Pre,Mean Physics Retrieval Accuracy Post,Mean Correct RT Post,F,Pre Mean FCI Accuracy,Post Mean FCI Accuracy,shen eff pre,shen eff post,shen cpl pre,shen cpl post,shen mod pre,shen mod post,crad eff pre,crad eff post,crad cpl pre,crad cpl post,crad mod pre,crad mod post,Strt.Level,Verbal Comprehension Sum_1,Perceptual Reasoning Sum_1,Working Memory Sum_1,Processing Speed Sum_1,Full Scale IQ_1,Verbal Comprehension Sum_2,Perceptual Reasoning Sum_2,Working Memory Sum_2,Processing Speed Sum_2,Full Scale IQ_2,delta Physics Retrieval Accuracy,delta FCI Accuracy,delta Verbal Comprehension,delta Perceptual Reasoning,delta Working Memory,delta Processing Speed,delta Full Scale IQ,Mod
AgeOnScanDate,0.0,0.1052,0.0028,0.4066,0.531,0.0838,0.4029,0.5834,0.9212,0.1821,0.6221,0.8221,0.47,0.9247,0.3491,0.4118,0.7628,0.6693,0.7082,0.8406,0.4066,0.3969,0.0001,0.3021,0.1982,0.1346,0.7385,0.058,0.8886,0.8104,0.8928,0.9981,0.9857,0.4631,0.2172,0.2378,0.1344,0.1175,0.8434,0.0685,0.8204
Phy48Grade,0.1052,0.0,0.03,0.3337,0.8165,0.4155,0.7169,0.1501,0.4986,0.0098,0.16,0.7074,0.1711,0.6217,0.1523,0.1887,0.1394,0.5669,0.1531,0.4773,0.0958,0.1938,0.9523,0.8108,0.6942,0.4463,0.9112,0.9803,0.5528,0.2246,0.9512,0.7163,0.5337,0.72,0.0658,0.3453,0.062,0.3461,0.7068,0.5064,0.5056
GPA.PreSem,0.0028,0.03,0.0,0.7856,0.5739,0.7319,0.9445,0.0627,0.0335,0.6349,0.0801,0.6409,0.1387,0.635,0.3641,0.4893,0.0927,0.5677,0.157,0.5806,0.5871,0.6071,0.9716,0.7003,0.4383,0.0761,0.6839,0.2973,0.1661,0.4927,0.1169,0.3159,0.3994,0.987,0.1054,0.3339,0.9113,0.7718,0.5444,0.9535,0.106
Mean Physics Retrieval Accuracy Pre,0.4066,0.3337,0.7856,0.0,0.0121,0.0,0.0029,0.0152,0.003,0.0202,0.3304,0.7736,0.3754,0.9209,0.0938,0.5737,0.3103,0.8392,0.3965,0.9207,0.0757,0.1557,0.932,0.0502,0.5617,0.5982,0.8639,0.0981,0.0041,0.1279,0.0385,0.2799,0.0515,0.0001,0.5762,0.6627,0.1957,0.1002,0.3066,0.58,0.2262
Mean Correct RT Pre,0.531,0.8165,0.5739,0.0121,0.0,0.0014,0.0,0.9786,0.4504,0.2817,0.2841,0.4884,0.3577,0.4416,0.1879,0.3039,0.304,0.5173,0.4379,0.5317,0.2202,0.4741,0.8073,0.0025,0.9769,0.1684,0.1296,0.0028,0.0003,0.8772,0.0992,0.6348,0.0856,0.9151,0.7513,0.8992,0.8725,0.8206,0.1896,0.4081,0.0086
Mean Physics Retrieval Accuracy Post,0.0838,0.4155,0.7319,0.0,0.0014,0.0,0.0011,0.0011,0.086,0.0095,0.474,0.7564,0.4486,0.576,0.0368,0.2217,0.585,0.7008,0.655,0.5981,0.0248,0.0931,0.1031,0.0328,0.6893,0.4501,0.6484,0.2698,0.0031,0.4469,0.0761,0.2578,0.1409,0.1213,0.4229,0.7567,0.1918,0.289,0.4935,0.5734,0.1878
Mean Correct RT Post,0.4029,0.7169,0.9445,0.0029,0.0,0.0011,0.0,0.5122,0.9537,0.5732,0.9475,0.9596,0.8656,0.8921,0.0658,0.8701,0.841,0.9767,0.9674,0.7963,0.0416,0.9655,0.7444,0.0516,0.855,0.97,0.0764,0.0485,0.046,0.592,0.3358,0.6705,0.1061,0.7324,0.5335,0.7081,0.6316,0.2685,0.4973,0.9395,0.2907
F,0.5834,0.1501,0.0627,0.0152,0.9786,0.0011,0.5122,0.0,0.0099,0.0005,0.8382,0.8902,0.9844,0.8022,0.0919,0.0408,0.7559,0.9403,0.8583,0.8593,0.066,0.0069,0.3797,0.0523,0.6029,0.5611,0.0275,0.5549,0.0445,0.1224,0.0662,0.7399,0.0473,0.8102,0.463,0.723,0.1681,0.183,0.3166,0.1091,0.1931
Pre Mean FCI Accuracy,0.9212,0.4986,0.0335,0.003,0.4504,0.086,0.9537,0.0099,0.0,0.001,0.7118,0.2234,0.6893,0.2094,0.8182,0.0509,0.5806,0.2332,0.523,0.2664,0.6535,0.0267,0.6923,0.2259,0.6244,0.3527,0.2891,0.43,0.0336,0.0652,0.0069,0.3227,0.0391,0.0741,0.001,0.5134,0.077,0.0686,0.8361,0.136,0.8416
Post Mean FCI Accuracy,0.1821,0.0098,0.6349,0.0202,0.2817,0.0095,0.5732,0.0005,0.001,0.0,0.9661,0.8459,0.8381,0.6653,0.2296,0.6126,0.9733,0.6869,0.9571,0.6025,0.1302,0.2821,0.1943,0.0325,0.7024,0.2622,0.2238,0.2086,0.0079,0.0084,0.0741,0.2005,0.027,0.8243,0.001,0.9774,0.0044,0.5122,0.7207,0.2328,0.9167
shen eff pre,0.6221,0.16,0.0801,0.3304,0.2841,0.474,0.9475,0.8382,0.7118,0.9661,0.0,0.0226,0.0,0.0159,0.0,0.0288,0.0,0.0269,0.0,0.0295,0.0,0.06,0.567,0.5485,0.227,0.8213,0.8569,0.3789,0.811,0.4376,0.2459,0.7973,0.4319,0.6399,0.7435,0.3021,0.8607,0.3096,0.7439,0.9749,0.3981
shen eff post,0.8221,0.7074,0.6409,0.7736,0.4884,0.7564,0.9596,0.8902,0.2234,0.8459,0.0226,0.0,0.0164,0.0,0.092,0.0,0.0931,0.0,0.0829,0.0,0.1871,0.0002,0.3247,0.4627,0.801,0.7211,0.4031,0.8466,0.5168,0.319,0.7272,0.7443,0.4914,0.4935,0.3078,0.097,0.3308,0.9805,0.4362,0.5651,0.9019
shen cpl pre,0.47,0.1711,0.1387,0.3754,0.3577,0.4486,0.8656,0.9844,0.6893,0.8381,0.0,0.0164,0.0,0.0096,0.0,0.0387,0.0,0.0195,0.0,0.0188,0.0,0.0895,0.6001,0.5927,0.1656,0.8971,0.9922,0.333,0.7129,0.5529,0.2644,0.8029,0.5321,0.7508,0.845,0.277,0.5778,0.28,0.8364,0.8201,0.6069
shen cpl post,0.9247,0.6217,0.635,0.9209,0.4416,0.576,0.8921,0.8022,0.2094,0.6653,0.0159,0.0,0.0096,0.0,0.0656,0.0,0.0725,0.0,0.0596,0.0,0.15,0.0003,0.3496,0.5377,0.9618,0.8328,0.4024,0.9408,0.4237,0.2656,0.7551,0.6268,0.4789,0.4792,0.4153,0.095,0.161,0.9188,0.3591,0.4766,0.8253
